TRIMAGEM AERONAVE
V;gama;alfa;deltaE;deltaT;q
33;0;0.252773;-0.10319;0.332146;0
34;0;0.234736;-0.0933361;0.32805;0
35;0;0.218079;-0.0842356;0.324611;0
36;0;0.202675;-0.0758196;0.321808;0
37;0;0.188409;-0.0680256;0.319621;0
38;0;0.175179;-0.0607974;0.318035;0
39;0;0.162892;-0.0540843;0.317032;0
40;0;0.151464;-0.0478409;0.316601;0
41;0;0.140821;-0.0420261;0.316728;0
42;0;0.130895;-0.0366032;0.317405;0
43;0;0.121626;-0.0315388;0.318621;0
44;0;0.112958;-0.0268031;0.320369;0
45;0;0.104842;-0.022369;0.322642;0
46;0;0.0972331;-0.018212;0.325435;0
47;0;0.0900915;-0.0143102;0.328743;0
48;0;0.0833802;-0.0106435;0.332563;0
49;0;0.077066;-0.00719379;0.33689;0
50;0;0.0711187;-0.00394455;0.341723;0
51;0;0.0655111;-0.000880825;0.347061;0
52;0;0.060218;0.00201103;0.352903;0
53;0;0.0552167;0.00474345;0.359247;0
54;0;0.0504865;0.00732778;0.366095;0
55;0;0.0460083;0.00977441;0.373446;0
56;0;0.0417648;0.0120928;0.381302;0
57;0;0.03774;0.0142918;0.389664;0
58;0;0.0339193;0.0163792;0.398534;0
59;0;0.0302892;0.0183625;0.407915;0
60;0;0.0268375;0.0202483;0.417808;0
61;0;0.0235525;0.022043;0.428216;0
62;0;0.020424;0.0237523;0.439143;0
63;0;0.0174421;0.0253814;0.450591;0
64;0;0.014598;0.0269353;0.462564;0
65;0;0.0118832;0.0284185;0.475067;0
66;0;0.00929022;0.0298352;0.488102;0
67;0;0.00681178;0.0311893;0.501674;0
68;0;0.00444131;0.0324844;0.515787;0
69;0;0.00217265;0.0337239;0.530445;0
70;0;8.99571e-08;0.0349108;0.545654;0
71;0;-0.00208171;0.0360482;0.561418;0
72;0;-0.00407771;0.0371387;0.577741;0
73;0;-0.00599254;0.0381849;0.594629;0
74;0;-0.00783053;0.0391891;0.612087;0
75;0;-0.00959573;0.0401535;0.630119;0
76;0;-0.0112919;0.0410802;0.648732;0
77;0;-0.0129226;0.0419711;0.667931;0
78;0;-0.0144912;0.0428281;0.687721;0
79;0;-0.0160007;0.0436528;0.708107;0
80;0;-0.0174541;0.0444468;0.729096;0
81;0;-0.0188541;0.0452117;0.750693;0
82;0;-0.0202033;0.0459489;0.772904;0
83;0;-0.0215041;0.0466596;0.795734;0
84;0;-0.0227588;0.0473451;0.81919;0
85;0;-0.0239696;0.0480066;0.843277;0
86;0;-0.0251384;0.0486452;0.868002;0
87;0;-0.0262673;0.0492619;0.89337;0
88;0;-0.0273579;0.0498577;0.919388;0
89;0;-0.028412;0.0504336;0.946062;0
90;0;-0.0294311;0.0509905;0.973398;0
